text,category
provide information forthcoming events university?,event
interested knowing upcoming events campus?,event
when symposium?,event
sports day,event
events happening university week?,event
student events happening soon?,event
curious events planned next month.,event
like know sports events taking place near future.,event
cultural events happening university?,event
provide information orientation events new students?,event
next club fair happening?,event
let know guest lectures seminars?,event
looking information annual university festival.,event
events organized alumni?,event
interested participating volunteer events coming up?,event
career fairs academic year?,event
get updates events related environmental awareness?,event
upcoming hackathon event?,event
curious charity events happening campus.,event
cultural heritage events?,event
next university open day prospective students?,event
wellness events planned students?,event
interested attending networking events help?,event
provide details upcoming academic conferences?,event
events celebrating diversity inclusion?,event
next campus cleanup event?,event
poetry slams happening month?,event
date next fundraising event?,event
interested participating coding competitions coming up?,event
events planned celebrating Women's History Month?,event
get details next career development workshop?,event
next technology symposium?,event
provide information events international students?,event
curious art exhibitions happening campus.,event
events organized mental health awareness?,event
sports tournaments taking place soon?,event
next campus concert happening?,event
interested events related entrepreneurship help?,event
film screenings semester?,event
provide information university's annual gala?,event
events planned Earth Day year?,event
looking details next study abroad fair.,event
next student government election event?,event
provide details book readings author talks?,event
interested events related sustainability efforts.,event
date next food festival campus?,event
upcoming music concerts?,event
next career panel discussion?,event
curious events planned awareness.,event
events scheduled celebrating Black History Month?,event
provide information upcoming research symposiums?,event
events celebrating International Women's Day?,event
next engineering expo?,event
interested attending events related social justice.,event
theater productions plays?,event
next health wellness fair?,event
provide information upcoming coding competitions?,event
events organized Career Development Week?,event
curious events planned World AIDS Day.,event
events scheduled celebrating Asian Heritage Month?,event
provide details next science technology fair?,event
next debate competition?,event
interested attending events related cyber security.,event
date next international student welcome event?,event
leadership development workshops?,event
next community service day?,event
curious events planned Disability Awareness Month.,event
events scheduled celebrating Heritage Month?,event
provide information upcoming academic symposiums?,event
events celebrating National Indigenous Peoples Day?,event
next student film festival?,event
interested attending events related financial literacy.,event
cultural exchange events happening soon?,event
next environmental sustainability conference?,event
provide details next arts crafts fair?,event
events organized Global Entrepreneurship Week?,event
curious events planned Mental Health Awareness Week.,event
events scheduled celebrating Women in STEM?,event
provide information upcoming health fitness expos?,event
next international education fair?,event
interested attending events related data science help?,event
date next student leadership conference?,event
cultural performance events happening soon?,event
next networking mixer?,event
curious events planned International Day Peace.,event
events scheduled celebrating National Science Week?,event
provide details next entrepreneurship summit?,event
events celebrating Diversity Week?,event
next campus music festival?,event
interested attending events related artificial intelligence.,event
technology hackathon happening soon?,event
next poetry reading event?,event
curious events planned International Education Week?,event
events scheduled celebrating National Volunteer Week?,event
provide information upcoming sustainability conferences?,event
date next health science symposium?,event
community outreach events happening soon?,event
next engineering design competition?,event
any workshops on creative writing coming up?,event
upcoming food festivals in the area?,event
dates for the next financial literacy seminars?,event
art exhibitions opening soon?,event
when exam,exam
my exam,exam
tell me about exam,exam
know about my exam,exam
dates final examinations semester,exam
need examination timetable courses,exam
examination dates biology course,exam
information mid term examinations,exam
provide details examination format math course,exam
practice examinations available physics examination,exam
looking past examination papers chemistry course,exam
many examinations next week,exam
examination review session scheduled final,exam
remind examination rules regulations,exam
feeling nervous upcoming examinations,exam
topics covered history examination,exam
missed last examination reschedule,exam
prepare English examination start,exam
special accommodations students examinations,exam
need bring specific materials examination,exam
study guide available upcoming examinations,exam
provide information examination locations times,exam
passing grade economics examination,exam
conflict another examination reschedule,exam
calculators allowed math examination,exam
duration chemistry examination,exam
question examination questions ask,exam
need bring student ID examination,exam
sick day examination,exam
recommend examination preparation resources,exam
check examination schedule find,exam
sample questions available examination,exam
need examination format computer science course,exam
examination weight final grade,exam
give tips studying upcoming examinations,exam
worried difficulty level examination insight,exam
study group examination preparation,exam
arrive late examination,exam
bring water bottle examination,exam
miss examination due emergency,exam
use pencil examination need pen,exam
procedure requesting examination review,exam
extra time examination due medical condition arrange,exam
conflict extracurricular activity examination,exam
materials allowed examination room,exam
dress code examination,exam
need examination schedule psychology course,exam
request copy graded examination marked,exam
policy cheating examinations,exam
worried forgetting calculator math examination borrow one,exam
technical difficulties online examination,exam
penalty missing examination registration deadline,exam
family emergency day examination,exam
review sessions scheduled examination,exam
request extra paper examination run out,exam
accommodation extra time examinations arrange,exam
seating plan examination room,exam
finish examination early,exam
use calculator app phone examination,exam
feeling unwell day examination,exam
procedure submitting examination appeal,exam
penalty leaving examination room early,exam
examination preparation workshops available,exam
need examination requirements physics course,exam
request break examination,exam
happens forget student ID examination,exam
bring food examination,exam
conflict commitment examination time,exam
policy academic dishonesty examinations,exam
request different examination time personal reasons,exam
study spaces available examination preparation,exam
feeling anxious examination offer advice,exam
happens arrive without examination admission ticket,exam
use scratch paper examination,exam
need examination weight chemistry course,exam
procedure requesting makeup examination,exam
bring dictionary examination,exam
having difficulty accessing online examination platform,exam
happens experience medical emergency examination,exam
leave examination room use restroom,exam
need examination format biology course,exam
policy academic integrity examinations,exam
examination study guides available online,exam
worried examination duration request extra time,exam
bring calculator examination,exam
need clarification examination instructions ask,exam
fee rescheduling examination,exam
happens arrive examination started,exam
request examination extension extenuating circumstances,exam
question examination material help,exam
medical emergency examination,exam
request copy examination paper graded,exam
penalty following examination instructions,exam
examination preparation seminars available,exam
need examination format history course,exam
policy using electronic devices examinations,exam
examination practice sessions scheduled,exam
worried examination format provide information,exam
bring calculator graphing capabilities examination,exam
need examination weight computer science course,exam
find lecture notes biology class,notes
notes available chemistry lecture,notes
missed last class get lecture notes,notes
provide notes yesterday's lecture,notes
study notes available upcoming exam,notes
direct online platform access course notes,notes
lecture notes history course find,notes
study guides notes physics exam,notes
repository access past lecture notes,notes
send lecture notes psychology class,notes
looking study materials including notes math course,notes
supplemental notes available literature course,notes
access lecture notes previous semesters,notes
condensed notes summaries economics lectures,notes
find notes computer science lab,notes
download lecture notes engineering course,notes
provide notes guest lectures seminars,notes
review lecture notes sociology class,notes
recommend websites find comprehensive notes,notes
peer reviewed notes available anatomy course,notes
access professor's lecture notes course website,notes
trouble understanding concept get additional notes,notes
